快照ID	快照时间	任务类型	总消息数	平均延迟_ms	P99延迟_ms	重复率_pct	吞吐量_msg_s	备注
19	2025-12-22 19:00:20	storm	1200000	679.63	12537.00	0.0000	2051.57	storm-qps2000-data1200000-基线
18	2025-12-22 18:38:35	storm	1800000	1284.21	14016.00	0.0000	3074.97	storm-qps3000-data1800000-基线
17	2025-12-22 17:11:06	flink	1200000	294.49	681.00	0.0000	2012.45	flink-qps2000-data1200000-基线1
16	2025-12-22 16:43:33	flink	1800000	452.18	2505.00	0.0000	3018.71	flink-qps3000-data1800000-基线1
15	2025-12-22 16:23:13	flink	1798125	4705.85	31522.00	0.0000	3170.99	flink-qps3000-data1800000-基线
14	2025-12-22 16:07:32	flink	500000	6859.58	9707.00	0.0000	3757.53	flink-qps3900-data500000-基线
13	2025-12-22 15:54:40	flink	500000	10593.39	15052.00	0.0000	3752.96	flink-qps4000-data500000-基线
12	2025-12-22 15:46:55	flink	1000000	38069.59	70420.00	0.0000	3761.85	Flink实验-20251222-154655
11	2025-12-22 15:44:30	flink	1000000	38069.59	70420.00	0.0000	3761.85	flink-qps5000-data1000000-基线
10	2025-12-22 15:32:09	storm	1000000	52733.09	83732.00	0.0000	3789.97	storm-qps5000-data1000000-基线
9	2025-12-22 15:26:01	storm	500000	29313.02	45109.00	0.0000	3774.81	storm-qps5000-data500000-基线
8	2025-12-22 15:15:09	flink	500000	143961.75	160344.00	20.0000	3729.09	flink-qps5000-data500000-基线
7	2025-12-22 15:09:49	flink	100000	26529.40	30108.00	0.0000	3773.30	Flink实验-20251222-150949
6	2025-12-22 14:54:08	flink	200000	275.51	545.00	0.0000	2009.53	Flink实验-20251222-145408
5	2025-12-22 14:46:44	flink	200000	93607.56	110263.00	100.0000	3651.70	Flink实验-20251222-144644
4	2025-12-22 14:38:01	storm	200000	16829.19	33081.00	0.0000	3759.47	Storm实验-20251222-143801
3	2025-12-22 14:35:39	storm	200000	47776.87	64039.00	0.0000	3731.00	Storm实验-20251222-143539
2	2025-12-22 14:33:32	storm	200000	1098175.48	1800966.00	100.0000	1225.71	Storm实验-20251222-143332
1	2025-12-22 13:33:33	flink	100000	74509.05	83255.00	100.0000	3559.48	Flink实验-20251222-133333
