id,snapshot_time,job_type,total_messages,unique_messages,avg_latency,min_latency,max_latency,p50_latency,p95_latency,p99_latency,stddev_latency,duplicate_messages,duplicate_rate,max_process_count,total_reprocess_count,throughput_per_sec,time_window_sec,data_range_start,data_range_end,note
1,2025-12-22 20:30:37,flink-fault-after,1800000,1800000,192286.58,7862,380856,190371.00,362000.00,376257.00,108155.73,21590,1.1994,2,21590,1854.94,970,1766405385240,1766406365158,flink-qps2000-data1200000-4内部故障
2,2025-12-22 20:58:57,flink-fault-after,1800000,1800000,692.77,3,9201,446.00,3165.00,5863.00,1083.35,16885,0.9381,2,16885,3027.55,595,1766407641521,1766408241440,flink-qps2000-data1200000-4内部故障！
3,2025-12-22 21:18:04,flink-fault-after,1800000,1800000,461.87,3,4347,418.00,785.00,2851.00,429.03,0,0.0000,1,0,3020.30,596,1766408777203,1766409377123,flink-qps3000-data1800000-3内部故障！
4,2025-12-22 22:47:26,flink-fault-after,1800000,1800000,447.50,3,3889,416.00,781.00,2325.00,368.66,0,0.0000,1,0,3017.77,596,1766414126231,1766414726143,flink-qps3000-data1800000-2内部故障！
5,2025-12-22 23:05:03,flink-fault-after,1800000,1800000,1422.87,3,7429,704.00,4660.00,5677.00,1486.72,116792,6.4884,2,116792,3018.53,596,1766415157311,1766415757239,flink-qps3000-data1800000-8内部故障！
6,2025-12-22 23:52:32,storm,1800000,1800000,976.89,13,12578,447.00,6130.00,11137.00,2069.98,0,0.0000,1,0,3059.74,588,1766418028549,1766418628461,storm-qps3000-data1800000-8内部故障！
7,2025-12-23 00:23:55,storm,283500,283500,2810.86,14,24337,265.00,18862.00,23446.00,5949.44,0,0.0000,1,0,1723.84,164,1766420447666,1766420636095,Storm-故障前基线-20251223-002355
8,2025-12-23 00:25:00,storm,381000,381000,2740.29,14,24337,269.00,19357.00,23391.00,5912.71,8528,2.2383,2,8528,1660.38,229,1766420447666,1766420701103,Storm-故障注入1-network-worker-20251223-002500
9,2025-12-23 00:26:06,storm,479980,479980,2221.59,14,24337,256.00,17939.00,23052.00,5365.73,8528,1.7767,2,8528,1624.46,295,1766420447666,1766420767107,Storm-故障注入2-network-worker-20251223-002606
10,2025-12-23 00:58:01,storm,1800000,1800000,1718.92,14,24032,486.00,10578.00,14862.00,3503.25,8956,0.4976,2,8956,3076.54,585,1766421957018,1766422556918,storm-qps3000-data1800000-外部故障network-2-60
11,2025-12-23 19:27:47,flink,1450077,1450077,119736.72,3,381776,756.00,371036.00,378769.00,162957.44,137923,9.5114,4,251644,2178.23,666,1766488481902,1766489168596,Flink实验-20251223-192747
12,2025-12-23 19:41:26,flink,1800000,1800000,46988.52,3,170401,668.00,157927.00,167701.00,62278.90,128382,7.1323,3,177120,2649.13,679,1766489287796,1766489971220,flink-qps3000-data1800000-外部故障network-2-60
13,2025-12-23 20:04:29,flink,1800000,1800000,95807.21,3,304475,689.00,291528.00,301405.00,123363.03,237920,13.2178,3,341081,2184.66,824,1766490472207,1766491299525,flink-qps3000-data1800000-外部故障network-4-60
14,2025-12-23 20:49:51,flink,1799332,1799332,2279.05,3,24666,502.00,15133.00,21982.00,4811.22,10138,0.5634,2,10138,3015.54,597,1766493198125,1766493798045,flink-qps3000-data1800000-外部故障tm-2-60
15,2025-12-23 21:15:09,storm,1800000,1800000,6999.95,13,141994,526.00,54459.00,75312.00,16973.71,53659,2.9811,4,66774,3048.83,590,1766494762039,1766495361942,storm-qps3000-data1800000-外部故障worker-2-60
16,2025-12-23 22:04:04,storm,1800000,1800000,1633.14,13,18285,466.00,11756.00,16743.00,3603.78,0,0.0000,1,0,3088.89,583,1766497909097,1766498509003,storm-qps3000-data1800000-外部故障nimbus-2-60
17,2025-12-23 23:39:00,flink,1800000,1800000,497.26,3,7561,419.00,791.00,3713.00,646.13,0,0.0000,1,0,3036.97,593,1766499357066,1766499956986,flink-qps3000-data1800000-基线
18,2025-12-24 00:04:22,flink,833646,833646,256072.38,226460,284448,256092.00,281446.00,283674.00,16296.54,549115,65.8691,2,549115,3762.65,222,1766505308168,1766505813420,Flink实验-20251224-000422
19,2025-12-24 00:18:53,flink,1800000,1800000,177032.66,111153,242492,177099.00,231588.00,239822.00,35318.59,489148,27.1749,3,708135,3683.87,489,1766505874469,1766506595593,flink-qps3000-data1800000-外部故障jm-2-60
20,2025-12-24 00:34:56,flink,1800000,1800000,123769.18,61403,184576,123777.00,178359.00,183181.00,35024.10,519011,28.8339,2,519011,3752.35,480,1766506873094,1766507536620,flink-qps3000-data1800000-外部故障jm-1-60
21,2025-12-24 02:08:54,storm,1799914,1799914,249305.08,2529,394367,253152.00,384523.00,390795.00,99396.40,1726213,95.9053,3,1749219,1844.24,976,1766512215519,1766513261218,storm-qps3000-data1800000-80内部故障！
22,2025-12-24 14:53:22,flink,1800000,1800000,335592.90,289574,382270,332995.00,373277.00,378463.00,21953.82,29997,1.6665,2,29997,3231.37,557,1766558062000,1766559001108,flink-qps3000-data1800000-外部故障network-2-60
23,2025-12-24 15:04:33,flink,847497,847497,15874.98,8,42531,16135.00,36423.00,40845.00,12259.23,34557,4.0775,2,34557,2931.56,289,1766559564216,1766559862108,flink-qps3000-data1800000-外部故障worker-2-60
24,2025-12-24 15:13:23,flink,1067926,1067926,60194.52,13965,123225,60494.00,114920.00,120660.00,25209.77,40321,3.7756,2,40321,3139.38,340,1766559974278,1766560392501,flink-qps3000-data1800000-外部故障worker-2-60
25,2025-12-24 15:33:44,flink,1800000,1800000,154337.69,119015,196235,153228.00,183856.00,193368.00,17151.02,41048,2.2804,2,41048,3151.96,571,1766560732699,1766561485391,flink-qps3000-data1800000-外部故障worker-4-60
26,2025-12-24 15:43:32,flink,1015772,1015772,110362.96,75234,144829,110541.00,137491.00,143036.00,15059.28,36626,3.6057,2,36626,3245.56,313,1766561761920,1766562201360,flink-qps3000-data1800000-外部故障worker-1-60
27,2025-12-24 15:56:18,flink,212237,212237,21997.51,3045,45183,18306.00,43414.00,44509.00,13180.36,9280,4.3725,2,9280,3088.48,69,1766562876651,1766562966924,flink-qps3000-data1800000-外部故障worker-1-60
